ID_PERSONA	TBENE	BASE	PERIODO_BASE	LEY_APLICADA	MONTO	DESC_BENE
5243212	1	111	202304	RI	46050.97	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5244485	1	111	202304	RI	56467.79	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5247544	1	111	202304	RI	56594.97	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5247557	1	111	202304	TI	56905.47	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5258572	1	111	202304	TE	56718.83	LEY 26970 - PLAN CANCELADO
5268154	2	111	202304	PP	15000	LEY 24241 -PC- PRPA.
5268565	2	111	202304	RE	15000	LEY 26970 - MORATORIA
5270748	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5270898	1	111	202304	TI	5000	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5275298	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5285720	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5289287	2	111	202304	AU	14844.71	LEY 18037 - CASO BADARO - BENEFICIA
5289946	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5293991	1	111	202304	RI	53407.14	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5298940	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5299002	2	111	202304	C5	40566.89	RETIRO POLICIAL       STGO. DEL ESTERO
5308926	1	111	202304	TI	15000	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5312216	1	111	202304	RI	55986.66	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5314503	1	111	202304	TE	45673.53	LEY 26970 - PLAN CANCELADO
5315932	1	111	202304	PP	56905.47	LEY 24241 -PC- PRPA.
5318653	1	111	202304	RE	53465.08	LEY 26970 - MORATORIA
5328400	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5330397	2	111	202304	PO	56573.69	LEY 24.476 - MORATORIA
5335704	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5339544	1	111	202304	RI	55997.45	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5360636	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5362565	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5369219	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5378909	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5379317	1	111	202304	TI	54259.22	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5380852	1	111	202304	RI	87412.91	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5380877	1	111	202304	RE	46514.22	LEY 26970 - MORATORIA
5381791	2	111	202304	RE	45076.33	LEY 26970 - MORATORIA
5384055	1	111	202304	RI	47131.67	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5388934	1	111	202304	PO	53763.22	LEY 24.476 - MORATORIA
5393419	1	111	202304	RI	58325.26	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5398710	1	111	202304	RI	47479.39	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5400085	1	111	202304	RI	47982.82	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5403875	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5404951	1	111	202304	TI	15000	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5405737	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5407919	1	111	202304	TI	14904.4	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5412489	1	111	202304	RI	56392.09	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5415137	1	111	202304	TI	59284.23	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
